"id";"pesid";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_principal";"causa_acidente";"ordem_tipo_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"id_veiculo";"tipo_veiculo";"marca";"ano_fabricacao_veiculo";"tipo_envolvido";"estado_fisico";"idade";"sexo";"ilesos";"feridos_leves";"feridos_graves";"mortos";"latitude";"longitude";"regional";"delegacia";"uop"
138124;299068;2018-06-05;"terça-feira";"21:55:00";"RS";101;49,3;"TERRA DE AREIA";"Não";"Restrição de Visibilidade";1;"Saída de leito carroçável";"Sem Vítimas";"Plena Noite";"Decrescente";"Ignorado";"Dupla";"Reta";"Sim";244084;"Caminhão";"VW/24.250 CNC 6X2";2010;"Condutor";"Ileso";27;"Masculino";1;0;0;0;"-29.60204825";"-50.08201897";"SR-RS";"DEL9/3";"UOP03/RS"
138171;299119;2018-05-11;"sexta-feira";"18:30:00";"RS";116;160;"CAXIAS DO SUL";"Sim";"Defeito Mecânico no Veículo";1;"Colisao traseira";"Sem Vítimas";"Anoitecer";"Crescente";"Nublado";"Simples";"Reta";"Sim";244174;"Camioneta";"FORD/ECOSPORT TIT AT 2.0";2013;"Condutor";"Ileso";55;"Masculino";1;0;0;0;"-29.2335";"-51.157421";"SR-RS";"DEL9/5";"UOP01/RS"
138171;299120;2018-05-11;"sexta-feira";"18:30:00";"RS";116;160;"CAXIAS DO SUL";"Sim";"Defeito Mecânico no Veículo";1;"Colisao traseira";"Sem Vítimas";"Anoitecer";"Crescente";"Nublado";"Simples";"Reta";"Sim";244175;"Automóvel";"FIAT/UNO MILLE BRIO";1991;"Condutor";"Ileso";44;"Masculino";1;0;0;0;"-29.2335";"-51.157421";"SR-RS";"DEL9/5";"UOP01/RS"
138180;301656;2018-06-06;"quarta-feira";"09:30:00";"RS";470;213;"BENTO GONCALVES";"Sim";"Falta de Atenção à Condução";1;"Colisao com objeto estático";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Não Informado";"Não";244188;"Caminhão";"VOLVO/VM 270 6X2R";2013;"Condutor";"Ileso";40;"Masculino";1;0;0;0;"-29.14219953";"-51.53873071";"SR-RS";"DEL9/6";"UOP01/RS"
138180;301658;2018-06-06;"quarta-feira";"09:30:00";"RS";470;213;"BENTO GONCALVES";"Sim";"Falta de Atenção à Condução";1;"Colisao com objeto estático";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Não Informado";"Não";244188;"Caminhão";"VOLVO/VM 270 6X2R";2013;"Testemunha";"Não Informado";NA;"Não Informado";0;0;0;0;"-29.14219953";"-51.53873071";"SR-RS";"DEL9/6";"UOP01/RS"
138229;299187;2018-05-02;"quarta-feira";"14:40:00";"RS";472;577;"URUGUAIANA";"Sim";"Falta de Atenção à Condução";1;"Colisao lateral";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Rotatória";"Sim";244247;"Caminhonete";"VW/SAVEIRO GL";1988;"Condutor";"Ileso";83;"Masculino";1;0;0;0;"-29.78002271";"-57.06315994";"SR-RS";"DEL9/13";"UOP01/RS"
138229;299188;2018-05-02;"quarta-feira";"14:40:00";"RS";472;577;"URUGUAIANA";"Sim";"Falta de Atenção à Condução";1;"Colisao lateral";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Rotatória";"Sim";244247;"Caminhonete";"VW/SAVEIRO GL";1988;"Passageiro";"Ileso";68;"Feminino";1;0;0;0;"-29.78002271";"-57.06315994";"SR-RS";"DEL9/13";"UOP01/RS"
138229;299189;2018-05-02;"quarta-feira";"14:40:00";"RS";472;577;"URUGUAIANA";"Sim";"Falta de Atenção à Condução";1;"Colisao lateral";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Rotatória";"Sim";244248;"Motocicleta";"YAMAHA/YBR125 FACTOR K";2013;"Condutor";"Lesões Leves";36;"Masculino";0;1;0;0;"-29.78002271";"-57.06315994";"SR-RS";"DEL9/13";"UOP01/RS"
138229;299190;2018-05-02;"quarta-feira";"14:40:00";"RS";472;577;"URUGUAIANA";"Sim";"Falta de Atenção à Condução";1;"Colisao lateral";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Rotatória";"Sim";244248;"Motocicleta";"YAMAHA/YBR125 FACTOR K";2013;"Passageiro";"Ileso";11;"Masculino";1;0;0;0;"-29.78002271";"-57.06315994";"SR-RS";"DEL9/13";"UOP01/RS"
138231;299199;2018-05-16;"quarta-feira";"04:50:00";"RS";386;351,1;"ESTRELA";"Sim";"Condutor Dormindo";2;"Colisao com objeto estático";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Dupla";"Não Informado";"Sim";244261;"Caminhão";"I/M.BENZ 415CDISPRINTERF";2015;"Condutor";"Lesões Graves";26;"Masculino";0;0;1;0;"-29.49683819";"-51.95044041";"SR-RS";"DEL9/4";"UOP01/RS"
138268;299367;2018-06-06;"quarta-feira";"13:45:00";"RS";470;191,8;"VERANOPOLIS";"Sim";"Não guardar distância de segurança";1;"Colisao traseira";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";244352;"Caminhão";"FORD/CARGO 2429 SL";2014;"Condutor";"Ileso";26;"Masculino";1;0;0;0;"-29.03380882";"-51.56647682";"SR-RS";"DEL9/6";"UOP02/RS"
138268;300115;2018-06-06;"quarta-feira";"13:45:00";"RS";470;191,8;"VERANOPOLIS";"Sim";"Não guardar distância de segurança";1;"Colisao traseira";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";244353;"Caminhão";"VW/24.250 CNC 6X2";2011;"Condutor";"Ileso";49;"Masculino";1;0;0;0;"-29.03380882";"-51.56647682";"SR-RS";"DEL9/6";"UOP02/RS"
138284;299772;2018-06-06;"quarta-feira";"18:00:00";"RS";471;150,7;"SANTA CRUZ DO SUL";"Sim";"Falta de Atenção à Condução";1;"Colisao com objeto estático";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Céu Claro";"Simples";"Interseçao de vias";"Sim";244728;"Caminhão";"VW/23.220";2004;"Condutor";"Ileso";34;"Masculino";1;0;0;0;"-29.77907288";"-52.41551399";"SR-RS";"DEL9/2";"UOP03/RS"
138284;299774;2018-06-06;"quarta-feira";"18:00:00";"RS";471;150,7;"SANTA CRUZ DO SUL";"Sim";"Falta de Atenção à Condução";1;"Colisao com objeto estático";"Com Vítimas Feridas";"Anoitecer";"Crescente";"Céu Claro";"Simples";"Interseçao de vias";"Sim";244729;"Motocicleta";"HONDA/CG 150 TITAN ESD";2007;"Condutor";"Lesões Graves";28;"Masculino";0;0;1;0;"-29.77907288";"-52.41551399";"SR-RS";"DEL9/2";"UOP03/RS"
138296;301872;2018-06-06;"quarta-feira";"18:48:00";"RS";392;691,1;"ROQUE GONZALES";"Não";"Velocidade Incompatível";1;"Colisao traseira";"Com Vítimas Fatais";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Não Informado";"Não";244537;"Caminhão";"FORD/CARGO 815";2003;"Condutor";"Ileso";57;"Masculino";1;0;0;0;"-28.08338703";"-55.05542994";"SR-RS";"DEL9/10";"UOP01/RS"
138296;301873;2018-06-06;"quarta-feira";"18:48:00";"RS";392;691,1;"ROQUE GONZALES";"Não";"Velocidade Incompatível";1;"Colisao traseira";"Com Vítimas Fatais";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Não Informado";"Não";244537;"Caminhão";"FORD/CARGO 815";2003;"Passageiro";"Ileso";34;"Masculino";1;0;0;0;"-28.08338703";"-55.05542994";"SR-RS";"DEL9/10";"UOP01/RS"
138296;301876;2018-06-06;"quarta-feira";"18:48:00";"RS";392;691,1;"ROQUE GONZALES";"Não";"Velocidade Incompatível";1;"Colisao traseira";"Com Vítimas Fatais";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Não Informado";"Não";244537;"Caminhão";"FORD/CARGO 815";2003;"Passageiro";"Ileso";52;"Masculino";1;0;0;0;"-28.08338703";"-55.05542994";"SR-RS";"DEL9/10";"UOP01/RS"
138296;299520;2018-06-06;"quarta-feira";"18:48:00";"RS";392;691,1;"ROQUE GONZALES";"Não";"Velocidade Incompatível";1;"Colisao traseira";"Com Vítimas Fatais";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Não Informado";"Não";244536;"Automóvel";"GM/ASTRA GLS";2000;"Condutor";"Óbito";28;"Masculino";0;0;0;1;"-28.08338703";"-55.05542994";"SR-RS";"DEL9/10";"UOP01/RS"
138296;299521;2018-06-06;"quarta-feira";"18:48:00";"RS";392;691,1;"ROQUE GONZALES";"Não";"Velocidade Incompatível";1;"Colisao traseira";"Com Vítimas Fatais";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Não Informado";"Não";244536;"Automóvel";"GM/ASTRA GLS";2000;"Passageiro";"Óbito";39;"Masculino";0;0;0;1;"-28.08338703";"-55.05542994";"SR-RS";"DEL9/10";"UOP01/RS"
138299;299338;2018-05-20;"domingo";"19:15:00";"RS";285;208,5;"LAGOA VERMELHA";"Sim";"Desobediência às normas de trânsito pelo condutor";1;"Colisao transversal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Nublado";"Simples";"Reta";"Não";244376;"Automóvel";"GM/VECTRA GLS";1997;"Condutor";"Ileso";45;"Masculino";1;0;0;0;"-28.22415302";"-51.61091566";"SR-RS";"DEL14/8";"UOP05/RS"
